| Reward: -11485 | Episode: 165 | Qmax: 112.5708667881138 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -5734 | Episode: 166 | Qmax: 112.49416271893232 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -10720 | Episode: 167 | Qmax: 112.16490007616258 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -7903 | Episode: 168 | Qmax: 111.66568588852525 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -11350 | Episode: 169 | Qmax: 111.38807525482025 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -8191 | Episode: 170 | Qmax: 111.25316878768417 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -7333 | Episode: 171 | Qmax: 111.02730641159906 | Exploration: 0.189065244535 | Step: 953 | LR:0.0005
| Reward: -11467 | Episode: 172 | Qmax: 110.74116185429814 | Exploration: 0.189065244535 | Step: 999 | LR:0.0005
| Reward: -8630 | Episode: 173 | Qmax: 110.36948587913557 | Exploration: 0.187552722578 | Step: 873 | LR:0.0005
| Reward: -12223 | Episode: 174 | Qmax: 110.1899802176444 | Exploration: 0.187552722578 | Step: 999 | LR:0.0005
| Reward: -7448 | Episode: 175 | Qmax: 110.53988767666831 | Exploration: 0.186052300798 | Step: 933 | LR:0.0005
| Reward: -7543 | Episode: 176 | Qmax: 110.23548836464639 | Exploration: 0.186052300798 | Step: 999 | LR:0.0005
| Reward: -3333 | Episode: 177 | Qmax: 110.25206652955512 | Exploration: 0.184563882391 | Step: 346 | LR:0.0005
| Reward: -9271 | Episode: 178 | Qmax: 109.9345729243648 | Exploration: 0.184563882391 | Step: 999 | LR:0.0005
| Reward: -7696 | Episode: 179 | Qmax: 109.12810926466017 | Exploration: 0.184563882391 | Step: 999 | LR:0.0005
| Reward: -6940 | Episode: 180 | Qmax: 109.14446789912073 | Exploration: 0.183087371332 | Step: 794 | LR:0.0005
| Reward: -6130 | Episode: 181 | Qmax: 109.08591126679659 | Exploration: 0.183087371332 | Step: 999 | LR:0.0005
| Reward: -4029 | Episode: 182 | Qmax: 108.40069007873535 | Exploration: 0.181622672362 | Step: 484 | LR:0.0005
| Reward: -7112 | Episode: 183 | Qmax: 108.2765306629185 | Exploration: 0.180169690983 | Step: 939 | LR:0.0005
| Reward: -6940 | Episode: 184 | Qmax: 108.02090266525366 | Exploration: 0.178728333455 | Step: 785 | LR:0.0005
| Reward: -10594 | Episode: 185 | Qmax: 108.96322149939246 | Exploration: 0.178728333455 | Step: 999 | LR:0.0005
| Reward: -4408 | Episode: 186 | Qmax: 109.06915840292876 | Exploration: 0.177298506787 | Step: 530 | LR:0.0005
| Reward: -4317 | Episode: 187 | Qmax: 107.97862821087323 | Exploration: 0.175880118733 | Step: 547 | LR:0.0005
| Reward: -11170 | Episode: 188 | Qmax: 108.52967201362739 | Exploration: 0.175880118733 | Step: 999 | LR:0.0005
| Reward: -9105 | Episode: 189 | Qmax: 108.75474091908818 | Exploration: 0.174473077783 | Step: 916 | LR:0.0005
| Reward: -8875 | Episode: 190 | Qmax: 108.95047871510427 | Exploration: 0.174473077783 | Step: 999 | LR:0.0005
| Reward: -7363 | Episode: 191 | Qmax: 108.22137130416549 | Exploration: 0.174473077783 | Step: 999 | LR:0.0005
| Reward: -10720 | Episode: 192 | Qmax: 108.27363527620638 | Exploration: 0.174473077783 | Step: 999 | LR:0.0005
| Reward: -10477 | Episode: 193 | Qmax: 108.18591181055324 | Exploration: 0.174473077783 | Step: 999 | LR:0.0005
