| Reward: -495 | Episode: 121 | Qmax: 79.32127071450824 | Exploration: 0.144787791605 | Step: 163 | LR:0.0010856972
| Reward: -688 | Episode: 122 | Qmax: 80.31797734173861 | Exploration: 0.141892035773 | Step: 176 | LR:0.0010639832
| Reward: -430 | Episode: 123 | Qmax: 79.98244734468132 | Exploration: 0.139054195057 | Step: 116 | LR:0.0010427036
| Reward: -653 | Episode: 124 | Qmax: 81.02319425525087 | Exploration: 0.136273111156 | Step: 132 | LR:0.0010218495
| Reward: -609 | Episode: 125 | Qmax: 80.59763991448187 | Exploration: 0.133547648933 | Step: 124 | LR:0.0010014126
| Reward: -382 | Episode: 126 | Qmax: 84.13758191397024 | Exploration: 0.130876695954 | Step: 86 | LR:0.0009813843
| Reward: -535 | Episode: 127 | Qmax: 81.98353978565761 | Exploration: 0.128259162035 | Step: 140 | LR:0.0009617567
| Reward: -403 | Episode: 128 | Qmax: 83.1166008258688 | Exploration: 0.125693978795 | Step: 116 | LR:0.00094252155
| Reward: -471 | Episode: 129 | Qmax: 82.21537632661708 | Exploration: 0.123180099219 | Step: 85 | LR:0.00092367106
| Reward: -277 | Episode: 130 | Qmax: 84.41826555805821 | Exploration: 0.120716497234 | Step: 62 | LR:0.0009051977
| Reward: -400 | Episode: 131 | Qmax: 81.0507547218381 | Exploration: 0.11830216729 | Step: 131 | LR:0.0008870937
| Reward: -272 | Episode: 132 | Qmax: 87.17285268956965 | Exploration: 0.115936123944 | Step: 66 | LR:0.00086935185
| Reward: -516 | Episode: 133 | Qmax: 85.8519240659826 | Exploration: 0.113617401465 | Step: 85 | LR:0.0008519649
| Reward: -280 | Episode: 134 | Qmax: 81.24686578603891 | Exploration: 0.111345053436 | Step: 65 | LR:0.0008349256
| Reward: -318 | Episode: 135 | Qmax: 86.46765888059461 | Exploration: 0.109118152367 | Step: 148 | LR:0.00081822707
| Reward: -516 | Episode: 136 | Qmax: 84.16870481422148 | Exploration: 0.10693578932 | Step: 166 | LR:0.00080186257
| Reward: -525 | Episode: 137 | Qmax: 85.89882942725872 | Exploration: 0.104797073533 | Step: 58 | LR:0.0007858253
| Reward: -354 | Episode: 138 | Qmax: 87.14732506026083 | Exploration: 0.102701132063 | Step: 67 | LR:0.0007701088
| Reward: -422 | Episode: 139 | Qmax: 85.11038038465712 | Exploration: 0.100647109421 | Step: 135 | LR:0.00075470656
| Reward: -461 | Episode: 140 | Qmax: 85.12261769560729 | Exploration: 0.098634167233 | Step: 147 | LR:0.0007396125
| Reward: -346 | Episode: 141 | Qmax: 86.78197262650829 | Exploration: 0.0966614838883 | Step: 59 | LR:0.00072482025
| Reward: -279 | Episode: 142 | Qmax: 85.41857391450463 | Exploration: 0.0947282542105 | Step: 82 | LR:0.00071032386
| Reward: -223 | Episode: 143 | Qmax: 88.37966832574809 | Exploration: 0.0928336891263 | Step: 53 | LR:0.00069611735
| Reward: -310 | Episode: 144 | Qmax: 85.61370002345035 | Exploration: 0.0909770153438 | Step: 95 | LR:0.00068219495
| Reward: -384 | Episode: 145 | Qmax: 85.57930156852626 | Exploration: 0.0891574750369 | Step: 79 | LR:0.00066855113
| Reward: -279 | Episode: 146 | Qmax: 86.0703961299016 | Exploration: 0.0873743255362 | Step: 91 | LR:0.0006551801
| Reward: -244 | Episode: 147 | Qmax: 88.8212675026485 | Exploration: 0.0856268390255 | Step: 56 | LR:0.0006420764
| Reward: -299 | Episode: 148 | Qmax: 87.98829052012454 | Exploration: 0.083914302245 | Step: 93 | LR:0.00062923494
| Reward: -317 | Episode: 149 | Qmax: 89.03187429337274 | Exploration: 0.0822360162001 | Step: 84 | LR:0.0006166502
| Reward: -535 | Episode: 150 | Qmax: 88.16211075079245 | Exploration: 0.0805912958761 | Step: 122 | LR:0.00060431723
