 | Episode: 86 | Train: 0.457893610001 | Gym: 1.66627240181 | Batch: 0.267485141754 | Guide: 1.47773790359
 | Episode: 87 | Train: 0.198633432388 | Gym: 1.16859793663 | Batch: 0.11994099617 | Guide: 1.09433889389
 | Episode: 88 | Train: 0.0777103900909 | Gym: 0.563636064529 | Batch: 0.0465857982635 | Guide: 0.530806064606
 | Episode: 89 | Train: 0.820677757263 | Gym: 2.79670023918 | Batch: 0.480244398117 | Guide: 2.46540021896
 | Episode: 90 | Train: 0.817642211914 | Gym: 3.04739952087 | Batch: 0.490288257599 | Guide: 2.72708964348
 | Episode: 91 | Train: 0.0608832836151 | Gym: 0.238541603088 | Batch: 0.034786939621 | Guide: 0.217322826385
 | Episode: 92 | Train: 0.0994374752045 | Gym: 0.21767115593 | Batch: 0.050945520401 | Guide: 0.180243015289
 | Episode: 93 | Train: 0.0910985469818 | Gym: 0.519893884659 | Batch: 0.0576572418213 | Guide: 0.480037689209
 | Episode: 94 | Train: 0.0825839042664 | Gym: 0.209779977798 | Batch: 0.0472986698151 | Guide: 0.178063154221
 | Episode: 95 | Train: 0.307645082474 | Gym: 1.03766655922 | Batch: 0.171412467957 | Guide: 0.913516044617
 | Episode: 96 | Train: 0.123544692993 | Gym: 0.0565388202667 | Batch: 0.0734496116638 | Guide: 0
 | Episode: 97 | Train: 0.0431437492371 | Gym: 0.108715772629 | Batch: 0.0230612754822 | Guide: 0.0922110080719
 | Episode: 98 | Train: 0.0441710948944 | Gym: 0.115666151047 | Batch: 0.026664018631 | Guide: 0.0969619750977
 | Episode: 99 | Train: 0.0462787151337 | Gym: 0.0209376811981 | Batch: 0.0272786617279 | Guide: 0
 | Episode: 100 | Train: 0.119867324829 | Gym: 0.303921222687 | Batch: 0.0272676944733 | Guide: 0.290262937546
 | Episode: 101 | Train: 0.0453772544861 | Gym: 0.0237503051758 | Batch: 0.0267572402954 | Guide: 0
 | Episode: 102 | Train: 0.0600094795227 | Gym: 0.0267648696899 | Batch: 0.0329644680023 | Guide: 0
 | Episode: 103 | Train: 0.414579868317 | Gym: 1.27843284607 | Batch: 0.245294332504 | Guide: 1.11382770538
 | Episode: 104 | Train: 0.0454139709473 | Gym: 0.023895740509 | Batch: 0.0281438827515 | Guide: 0
 | Episode: 105 | Train: 0.0450069904327 | Gym: 0.0207681655884 | Batch: 0.0243332386017 | Guide: 0
 | Episode: 106 | Train: 0.0511441230774 | Gym: 0.220924139023 | Batch: 0.0296442508698 | Guide: 0.205321073532
 | Episode: 107 | Train: 0.04509806633 | Gym: 0.0195388793945 | Batch: 0.023428440094 | Guide: 0
 | Episode: 108 | Train: 0.0461220741272 | Gym: 0.0227696895599 | Batch: 0.0294570922852 | Guide: 0
 | Episode: 109 | Train: 0.0586943626404 | Gym: 0.0238230228424 | Batch: 0.0310592651367 | Guide: 0
 | Episode: 110 | Train: 0.0576343536377 | Gym: 0.112731933594 | Batch: 0.0311257839203 | Guide: 0.0885548591614
 | Episode: 111 | Train: 0.0541551113129 | Gym: 0.124105930328 | Batch: 0.0301005840302 | Guide: 0.100206136703
 | Episode: 112 | Train: 0.0445675849915 | Gym: 0.104828596115 | Batch: 0.0275030136108 | Guide: 0.0848197937012
 | Episode: 113 | Train: 0.0480093955994 | Gym: 0.0187752246857 | Batch: 0.0243515968323 | Guide: 0
 | Episode: 114 | Train: 0.0564839839935 | Gym: 0.144706964493 | Batch: 0.0340824127197 | Guide: 0.121279001236
 | Episode: 115 | Train: 0.0447788238525 | Gym: 0.119143724442 | Batch: 0.0255053043365 | Guide: 0.100894212723
 | Episode: 116 | Train: 0.0587191581726 | Gym: 0.121361255646 | Batch: 0.0319571495056 | Guide: 0.0987310409546
 | Episode: 117 | Train: 0.461653232574 | Gym: 0.662519216537 | Batch: 0.27051949501 | Guide: 0.460147857666
 | Episode: 118 | Train: 0.043182849884 | Gym: 0.0199918746948 | Batch: 0.0248603820801 | Guide: 0
 | Episode: 119 | Train: 0.0446147918701 | Gym: 0.19785284996 | Batch: 0.0255706310272 | Guide: 0.182961940765
 | Episode: 120 | Train: 0.175331115723 | Gym: 0.218241214752 | Batch: 0.0311341285706 | Guide: 0.199209928513
 | Episode: 121 | Train: 0.839076519012 | Gym: 1.93598175049 | Batch: 0.495449781418 | Guide: 1.58203911781
 | Episode: 122 | Train: 0.0437490940094 | Gym: 0.0191185474396 | Batch: 0.0233502388 | Guide: 0
 | Episode: 123 | Train: 0.0477328300476 | Gym: 0.0237507820129 | Batch: 0.0303380489349 | Guide: 0
 | Episode: 124 | Train: 0.0427188873291 | Gym: 0.0193028450012 | Batch: 0.0239799022675 | Guide: 0
 | Episode: 125 | Train: 0.0471782684326 | Gym: 0.0230188369751 | Batch: 0.030440568924 | Guide: 0
 | Episode: 126 | Train: 0.044558763504 | Gym: 0.0193338394165 | Batch: 0.0237553119659 | Guide: 0
 | Episode: 127 | Train: 0.0453786849976 | Gym: 0.0203206539154 | Batch: 0.0255794525146 | Guide: 0
 | Episode: 128 | Train: 0.0471806526184 | Gym: 0.0232975482941 | Batch: 0.0290439128876 | Guide: 0
 | Episode: 129 | Train: 0.0525200366974 | Gym: 0.0225131511688 | Batch: 0.0287504196167 | Guide: 0
 | Episode: 130 | Train: 0.049152135849 | Gym: 0.125201940536 | Batch: 0.0271227359772 | Guide: 0.105114221573
 | Episode: 131 | Train: 0.0482592582703 | Gym: 0.0235524177551 | Batch: 0.0289087295532 | Guide: 0
 | Episode: 132 | Train: 0.0447537899017 | Gym: 0.121545791626 | Batch: 0.0263657569885 | Guide: 0.102895975113
 | Episode: 133 | Train: 0.062787771225 | Gym: 0.137553691864 | Batch: 0.0376682281494 | Guide: 0.109277009964
 | Episode: 134 | Train: 0.0460979938507 | Gym: 0.0213310718536 | Batch: 0.0267777442932 | Guide: 0
 | Episode: 135 | Train: 0.0531611442566 | Gym: 0.144326448441 | Batch: 0.0312995910645 | Guide: 0.123753070831
 | Episode: 136 | Train: 0.0580897331238 | Gym: 0.129096984863 | Batch: 0.0318667888641 | Guide: 0.106248855591
 | Episode: 137 | Train: 0.0443031787872 | Gym: 0.0212469100952 | Batch: 0.0251924991608 | Guide: 0
 | Episode: 138 | Train: 0.0486614704132 | Gym: 0.0243771076202 | Batch: 0.0303838253021 | Guide: 0
 | Episode: 139 | Train: 0.0439445972443 | Gym: 0.110054969788 | Batch: 0.0271651744843 | Guide: 0.0899188518524
 | Episode: 140 | Train: 0.122250795364 | Gym: 0.021411895752 | Batch: 0.0258805751801 | Guide: 0
 | Episode: 141 | Train: 0.0459170341492 | Gym: 0.0232810974121 | Batch: 0.0288054943085 | Guide: 0
 | Episode: 142 | Train: 0.0586924552917 | Gym: 0.0284829139709 | Batch: 0.033415555954 | Guide: 0
 | Episode: 143 | Train: 0.0640857219696 | Gym: 0.0287411212921 | Batch: 0.0316290855408 | Guide: 0
 | Episode: 144 | Train: 0.0627660751343 | Gym: 0.0287413597107 | Batch: 0.0347266197205 | Guide: 0
 | Episode: 145 | Train: 0.0506279468536 | Gym: 0.482734680176 | Batch: 0.0258140563965 | Guide: 0.463713169098
 | Episode: 146 | Train: 0.0456507205963 | Gym: 0.139574050903 | Batch: 0.0235543251038 | Guide: 0.122056007385
 | Episode: 147 | Train: 0.0485100746155 | Gym: 0.0183413028717 | Batch: 0.0222883224487 | Guide: 0
 | Episode: 148 | Train: 0.05686378479 | Gym: 0.256391048431 | Batch: 0.034247636795 | Guide: 0.233500003815
 | Episode: 149 | Train: 0.0639209747314 | Gym: 0.0293805599213 | Batch: 0.0341703891754 | Guide: 0
 | Episode: 150 | Train: 0.0544517040253 | Gym: 0.179731607437 | Batch: 0.0334012508392 | Guide: 0.153008937836
 | Episode: 151 | Train: 0.0525152683258 | Gym: 0.0248172283173 | Batch: 0.0305898189545 | Guide: 0
 | Episode: 152 | Train: 0.050475358963 | Gym: 0.0241520404816 | Batch: 0.0298264026642 | Guide: 0
 | Episode: 153 | Train: 0.0442218780518 | Gym: 0.0263996124268 | Batch: 0.0261292457581 | Guide: 0
 | Episode: 154 | Train: 0.053389787674 | Gym: 0.215060710907 | Batch: 0.0313069820404 | Guide: 0.196349859238
 | Episode: 155 | Train: 0.0439286231995 | Gym: 0.109716892242 | Batch: 0.0260319709778 | Guide: 0.0923659801483
 | Episode: 156 | Train: 0.0465912818909 | Gym: 0.0222778320312 | Batch: 0.0272433757782 | Guide: 0
 | Episode: 157 | Train: 0.0470802783966 | Gym: 0.023365020752 | Batch: 0.0277316570282 | Guide: 0
 | Episode: 158 | Train: 0.047210931778 | Gym: 0.119508504868 | Batch: 0.0286478996277 | Guide: 0.0992488861084
 | Episode: 159 | Train: 0.0501132011414 | Gym: 0.0246064662933 | Batch: 0.02996134758 | Guide: 0
 | Episode: 160 | Train: 0.133862018585 | Gym: 0.211105585098 | Batch: 0.0249366760254 | Guide: 0.196002006531
 | Episode: 161 | Train: 0.0531442165375 | Gym: 0.0214958190918 | Batch: 0.0278072357178 | Guide: 0
 | Episode: 162 | Train: 0.0488288402557 | Gym: 0.134066581726 | Batch: 0.027973651886 | Guide: 0.114152908325
 | Episode: 163 | Train: 0.04705286026 | Gym: 0.0230159759521 | Batch: 0.0276536941528 | Guide: 0
 | Episode: 164 | Train: 0.0473434925079 | Gym: 0.0208840370178 | Batch: 0.0272297859192 | Guide: 0
